season,teamId,Team,Attendance,Attn_avg,TV_revenue,RANK,ROSTER,26-MAN PAYROLL,INJURED RESERVE,RETAINED,BURIED,SUSPENDED,2021 TOTAL PAYROLL
2018,108,Los Angeles Angels,"3,020,216","37,287",118,7,37,"$91,914,083 ","$57,532,566 ","$24,194,770 ","$1,635,000 ",-,"$173,784,989 "
2018,109,Arizona Diamondbacks,"2,242,695","27,688",50,14,35,"$109,501,628 ","$14,124,025 ","$5,630,585 ","$15,151,500 ",-,"$143,324,597 "
2018,110,Baltimore Orioles,"1,564,192","19,311",46,19,38,"$69,691,407 ","$12,650,000 ","$43,550,980 ","$3,726,500 ","$3,000,000 ","$130,467,027 "
2018,111,Boston Red Sox,"2,895,575","35,748",80,1,36,"$167,955,780 ","$18,074,000 ","$41,755,860 ","$2,180,000 ",-,"$227,398,860 "
2018,112,Chicago Cubs,"3,181,089","38,794",65,4,37,"$152,092,957 ","$37,451,220 ","$1,216,894 ","$2,725,000 ","$3,200,000 ","$194,259,933 "
2018,113,Cincinnati Reds,"1,629,356","20,116",30,25,30,"$82,511,299 ","$1,344,890 ","$15,242,487 ","$4,395,000 ",-,"$100,305,768 "
2018,114,Cleveland Indians,"1,926,701","23,786",40,15,35,"$123,670,545 ","$12,836,166 ","$5,222,548 ","$3,277,000 ",-,"$142,804,703 "
2018,115,Colorado Rockies,"3,015,880","37,233",20,13,35,"$131,213,168 ","$7,545,000 ","$4,442,400 ","$3,277,000 ",-,"$143,968,544 "
2018,116,Detroit Tigers,"1,856,970","22,926",55,17,33,"$67,047,516 ","$37,720,870 ","$24,401,899 ","$4,187,600 ",-,"$130,959,889 "
2018,117,Houston Astros,"2,980,549","36,797",60,9,36,"$158,520,510 ","$556,400 ","$4,027,264 ","$2,189,400 ",-,"$163,524,216 "
2018,118,Kansas City Royals,"1,665,107","20,557",22,20,30,"$83,618,228 ","$7,189,167 ","$37,811,905 ","$4,398,500 ",-,"$129,944,821 "
2018,119,Los Angeles Dodgers,"3,857,500","47,043",204,3,40,"$160,502,596 ","$3,908,850 ","$30,541,679 ","$5,590,000 ",-,"$199,582,045 "
2018,120,Washington Nationals,"2,529,604","31,230",46,5,35,"$130,197,979 ","$8,999,485 ","$41,161,720 ","$4,481,000 ",-,"$181,382,609 "
2018,121,New York Mets,"2,224,995","27,469",46,12,33,"$82,655,203 ","$49,831,436 ","$15,314,261 ","$5,452,000 ","$1,792,000 ","$150,187,987 "
2018,133,Oakland Athletics,"1,573,616","19,427",41,28,35,"$61,525,657 ","$4,972,604 ","$10,118,631 ","$6,745,000 ",-,"$80,315,288 "
2018,134,Pittsburgh Pirates,"1,465,316","18,316",25,27,34,"$67,576,415 ","$4,670,500 ","$17,492,114 ","$3,302,000 ",-,"$91,025,861 "
2018,135,San Diego Padres,"2,168,536","26,772",39,24,33,"$50,169,797 ","$6,764,800 ","$44,479,430 ","$4,274,200 ","$545,000 ","$103,843,635 "
2018,136,Seattle Mariners,"2,299,489","28,389",76,10,38,"$136,839,663 ","$13,496,812 ","$9,361,340 ","$4,025,600 ",-,"$160,993,827 "
2018,137,San Francisco Giants,"3,156,185","38,965",54,2,32,"$119,689,218 ","$64,341,827 ","$21,136,053 ","$3,283,000 ",-,"$205,665,348 "
2018,138,St. Louis Cardinals,"3,403,587","42,020",33,8,36,"$113,991,329 ","$27,345,600 ","$20,907,798 ","$2,310,900 ",-,"$163,784,311 "
2018,139,Tampa Bay Rays,"1,154,973","14,259",20,30,35,"$25,668,988 ","$2,213,706 ","$35,944,023 ","$8,225,000 ",-,"$68,810,167 "
2018,140,Texas Rangers,"2,107,107","26,014",56,16,35,"$96,239,016 ","$6,683,451 ","$36,936,251 ","$3,325,000 ",-,"$140,625,018 "
2018,141,Toronto Blue Jays,"2,325,281","28,707",53,11,37,"$81,293,347 ","$20,481,474 ","$48,740,616 ","$5,450,000 ",-,"$150,946,147 "
2018,142,Minnesota Twins,"1,959,197","24,188",37,21,35,"$56,254,373 ","$29,213,890 ","$29,264,527 ","$2,215,000 ",-,"$115,509,520 "
2018,143,Philadelphia Phillies,"2,158,124","26,644",60,23,40,"$97,016,347 ",-,"$6,936,684 ","$2,045,000 ",-,"$104,297,471 "
2018,144,Atlanta Braves,"2,555,781","31,553",35,18,37,"$73,567,565 ","$13,299,094 ","$42,392,955 ","$5,180,000 ",-,"$130,649,395 "
2018,145,Chicago White Sox,"1,608,817","19,862",51,29,32,"$57,261,542 ","$5,920,130 ","$7,681,442 ","$4,935,000 ",-,"$71,839,808 "
2018,146,Miami Marlins,"811,104","10,014",20,26,31,"$43,033,514 ","$15,407,490 ","$31,020,460 ","$6,200,000 ",-,"$91,817,860 "
2018,147,New York Yankees,"3,482,855","42,998",98,6,38,"$148,010,829 ","$22,568,376 ","$9,249,414 ","$3,130,000 ",-,"$180,098,151 "
2018,158,Milwaukee Brewers,"2,850,875","35,196",24,22,36,"$89,888,839 ","$7,321,500 ","$11,383,150 ","$3,275,700 ",-,"$108,982,016 "
2019,108,Los Angeles Angels,"3,023,012","37,321",118,9,37,"$114,316,581 ","$15,868,930 ","$28,664,754 ","$4,641,000 ",-,"$161,270,385 "
2019,109,Arizona Diamondbacks,"2,135,510","26,364",50,19,36,"$64,640,742 ","$11,699,600 ","$26,307,583 ","$18,087,600 ",-,"$118,927,905 "
